Lower	Upper	Sex	Exposure	scenario	predicted_CSO	total_cso_driven	total_ncso_driven	overall_ppv	ppv_first	ppv_xct	diagnostic_ls_css_first	diagnostic_ls_css_xct	diagnostic_ls_os_first	diagnostic_ls_os_xct
40	44	Female	Current	old_3	Myeloid lineage	0	0	5	0	5	Inf	92.4	Inf	93.5
40	44	Female	Current	old_3	Neuroendocrine cells	48	37	26	22	6	13.1	56.6	13	59.9
40	44	Female	Current	old_3	Ovary	30	12	62	60	6	5.9	85.5	5.8	86.3
40	44	Female	Current	old_3	Pancreas, gallbladder	42	36	23	15	10	20.8	42.5	22	43.9
40	44	Female	Current	old_3	Plasma cell neoplasm	28	26	8	6	2	Inf	230	Inf	232.8
40	44	Female	Current	old_3	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Current	old_3	Stomach, esophagus	37	31	22	16	7	25.2	57.7	27.1	59.5
40	44	Female	Current	old_3	Thyroid gland	0	0	5	0	5	Inf	92.6	Inf	93.7
40	44	Female	Current	old_3	Uterus	63	56	25	12	15	64.4	25.2	63.7	25.1
40	44	Female	Current	old_4	Anus	14	13	55	5	53	124.5	8.6	118.2	8.5
40	44	Female	Current	old_4	Bladder, urothelial	5	5	14	12	3	26.4	166.1	27	168.7
40	44	Female	Current	old_4	Bone and soft tissue	7	5	30	22	10	14.9	36.5	15	37.5
40	44	Female	Current	old_4	Breast	82	47	44	42	3	20.5	126	20.1	127.3
40	44	Female	Current	old_4	Cervix	9	2	75	75	2	6	277.2	6	284.7
40	44	Female	Current	old_4	Colon, rectum	95	69	30	28	3	11.5	140.3	11.6	141.9
40	44	Female	Current	old_4	Head and neck	54	39	42	28	20	23.5	20.9	20.1	21.1
40	44	Female	Current	old_4	Kidney	6	6	13	6	7	94.7	43.1	95.4	45
40	44	Female	Current	old_4	Liver, bile duct	17	15	15	10	6	29.2	57.5	35.2	59.6
40	44	Female	Current	old_4	Lung	117	88	28	24	4	10	110.5	10.8	108.1
40	44	Female	Current	old_4	Lymphoid lineage	61	53	16	13	3	99.1	143.4	92.1	146.7
40	44	Female	Current	old_4	Melanocytic lineage	2	2	5	3	2	Inf	191.9	Inf	195.2
40	44	Female	Current	old_4	Myeloid lineage	0	0	2	0	2	Inf	191.6	Inf	195
40	44	Female	Current	old_4	Neuroendocrine cells	44	37	20	17	4	16.7	84.2	16.5	89.7
40	44	Female	Current	old_4	Ovary	19	12	39	37	3	9.5	177.2	9.5	179.8
40	44	Female	Current	old_4	Pancreas, gallbladder	37	34	12	8	5	36.6	76.9	38.8	80
40	44	Female	Current	old_4	Plasma cell neoplasm	27	26	5	4	1	Inf	484.7	Inf	493.1
40	44	Female	Current	old_4	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Current	old_4	Stomach, esophagus	33	30	11	8	4	45.7	106.9	49.4	110.8
40	44	Female	Current	old_4	Thyroid gland	0	0	2	0	2	Inf	191.9	Inf	195.3
40	44	Female	Current	old_4	Uterus	54	51	12	5	7	134.8	57.4	133.3	57.2
40	44	Female	Former	old_3	Anus	22	21	71	4	70	152.3	6.5	143.7	6.5
40	44	Female	Former	old_3	Bladder, urothelial	6	5	18	14	5	22.7	95.8	23.3	97.3
40	44	Female	Former	old_3	Bone and soft tissue	9	6	48	36	18	9.3	24.3	9.4	24.4
40	44	Female	Former	old_3	Breast	118	48	61	59	5	14.7	93.6	14.4	94.4
40	44	Female	Former	old_3	Cervix	17	2	86	86	3	5.3	183.2	5.2	188.7
40	44	Female	Former	old_3	Colon, rectum	98	70	32	28	6	11.7	88.9	11.8	89.9
40	44	Female	Former	old_3	Head and neck	58	45	47	22	32	29.7	14.1	25.4	14.1
40	44	Female	Former	old_3	Kidney	6	6	20	10	10	48	35.5	48.4	36.3
40	44	Female	Former	old_3	Liver, bile duct	18	16	22	13	9	23.3	40.6	27.9	41.5
40	44	Female	Former	old_3	Lung	100	89	15	10	5	23.4	89.6	25.3	89.1
40	44	Female	Former	old_3	Lymphoid lineage	74	54	31	27	5	47.2	97.2	43.5	98.7
40	44	Female	Former	old_3	Melanocytic lineage	2	2	9	5	4	Inf	115.2	Inf	117.2
40	44	Female	Former	old_3	Myeloid lineage	0	0	4	0	4	Inf	115	Inf	117
40	44	Female	Former	old_3	Neuroendocrine cells	41	37	13	10	3	30.2	115.6	30.5	120.6
40	44	Female	Former	old_3	Ovary	30	12	62	60	5	5.8	104	5.8	105.4
40	44	Female	Former	old_3	Pancreas, gallbladder	39	35	17	10	8	30.4	58.1	32.2	59.6
40	44	Female	Former	old_3	Plasma cell neoplasm	28	26	8	6	2	Inf	287.8	Inf	292.8
40	44	Female	Former	old_3	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Former	old_3	Stomach, esophagus	35	31	16	12	5	33.5	81.5	35.9	83.7
40	44	Female	Former	old_3	Thyroid gland	0	0	4	0	4	Inf	115.2	Inf	117.2
40	44	Female	Former	old_3	Uterus	63	56	25	12	15	64.3	25.6	63.5	25.5
40	44	Female	Former	old_4	Anus	13	12	50	6	47	111.4	9.6	105.7	9.6
40	44	Female	Former	old_4	Bladder, urothelial	5	5	10	8	2	41.2	208.1	42.2	212
40	44	Female	Former	old_4	Bone and soft tissue	7	5	29	23	9	14.6	50.6	14.8	51
40	44	Female	Former	old_4	Breast	82	47	44	43	2	20.4	184.7	20	187.4
40	44	Female	Former	old_4	Cervix	8	2	71	70	1	6.4	361.2	6.4	373.1
40	44	Female	Former	old_4	Colon, rectum	90	68	26	24	3	13.6	189.8	13.7	192.3
40	44	Female	Former	old_4	Head and neck	42	37	26	12	16	55	27.9	47.1	28.1
40	44	Female	Former	old_4	Kidney	6	5	10	5	5	103.4	66.8	104.2	68.7
40	44	Female	Former	old_4	Liver, bile duct	16	15	11	7	5	42.4	79.7	51	81.8
40	44	Female	Former	old_4	Lung	95	87	11	9	3	28.6	183.6	30.9	183.4
40	44	Female	Former	old_4	Lymphoid lineage	61	53	15	13	3	98.5	189.1	91.6	192.7
40	44	Female	Former	old_4	Melanocytic lineage	2	2	5	3	2	Inf	247.2	Inf	252.4
40	44	Female	Former	old_4	Myeloid lineage	0	0	2	0	2	Inf	246.9	Inf	252.1
40	44	Female	Former	old_4	Neuroendocrine cells	39	36	8	7	2	42.7	198	42.7	208.6
40	44	Female	Former	old_4	Ovary	19	12	39	37	2	9.5	222.9	9.4	226.8
40	44	Female	Former	old_4	Pancreas, gallbladder	36	34	9	5	4	55.7	117.6	59	121.4
40	44	Female	Former	old_4	Plasma cell neoplasm	27	26	5	4	1	Inf	626.1	Inf	639.4
40	44	Female	Former	old_4	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Former	old_4	Stomach, esophagus	32	30	8	6	3	63.5	161.7	68.2	166.7
40	44	Female	Former	old_4	Thyroid gland	0	0	2	0	2	Inf	247.2	Inf	252.4
40	44	Female	Former	old_4	Uterus	53	51	12	5	7	134.6	58.6	133.1	58.4
40	44	Female	Never	old_3	Anus	17	16	63	5	61	118.7	7.5	112	7.4
40	44	Female	Never	old_3	Bladder, urothelial	5	5	11	7	4	49.2	118.5	50.3	120.7
40	44	Female	Never	old_3	Bone and soft tissue	9	6	47	37	17	9.2	26.7	9.3	26.7
40	44	Female	Never	old_3	Breast	117	48	61	59	4	14.7	118.9	14.4	120.5
40	44	Female	Never	old_3	Cervix	12	2	81	80	2	5.6	202.6	5.6	209.2
40	44	Female	Never	old_3	Colon, rectum	93	70	28	25	5	13.3	104.6	13.4	105.9
40	44	Female	Never	old_3	Head and neck	48	41	35	14	24	45.6	19	39	19
40	44	Female	Never	old_3	Kidney	6	6	16	8	9	63.5	41.7	64	42.5
40	44	Female	Never	old_3	Liver, bile duct	17	16	18	10	8	30.7	45.5	36.7	46.5
40	44	Female	Never	old_3	Lung	90	88	6	2	4	142.8	120.5	154.7	121
40	44	Female	Never	old_3	Lymphoid lineage	73	54	30	27	4	46.9	113.9	43.2	115.7
40	44	Female	Never	old_3	Melanocytic lineage	2	2	9	5	3	Inf	140.8	Inf	143.7
40	44	Female	Never	old_3	Myeloid lineage	0	0	3	0	3	Inf	140.6	Inf	143.5
40	44	Female	Never	old_3	Neuroendocrine cells	38	36	7	4	2	73.4	196.6	75.8	202.7
40	44	Female	Never	old_3	Ovary	30	12	62	60	5	5.8	124	5.8	126
40	44	Female	Never	old_3	Pancreas, gallbladder	39	35	16	10	7	32.1	71.6	34	73.2
40	44	Female	Never	old_3	Plasma cell neoplasm	28	26	8	6	1	Inf	353.3	Inf	360.6
40	44	Female	Never	old_3	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Never	old_3	Stomach, esophagus	33	30	13	9	4	43.6	99.6	46.4	102.4
40	44	Female	Never	old_3	Thyroid gland	0	0	3	0	3	Inf	140.8	Inf	143.7
40	44	Female	Never	old_3	Uterus	63	55	25	12	15	64.1	25.8	63.4	25.7
40	44	Female	Never	old_4	Anus	11	10	41	7	37	95.1	12.2	90.3	12.1
40	44	Female	Never	old_4	Bladder, urothelial	5	5	5	4	2	93	258.7	95.2	264.4
40	44	Female	Never	old_4	Bone and soft tissue	7	5	29	23	8	14.5	59.5	14.6	59.5
40	44	Female	Never	old_4	Breast	81	47	44	43	2	20.4	240	19.9	244.1
40	44	Female	Never	old_4	Cervix	6	2	62	61	1	7.4	410.7	7.4	424.9
40	44	Female	Never	old_4	Colon, rectum	86	68	23	21	2	15.6	229.9	15.7	233.1
40	44	Female	Never	old_4	Head and neck	37	35	18	7	11	92.9	40.3	79.6	40.4
40	44	Female	Never	old_4	Kidney	6	5	8	4	4	139.3	84	140.5	85.6
40	44	Female	Never	old_4	Liver, bile duct	16	15	9	5	4	57.1	92.1	68.7	94.3
40	44	Female	Never	old_4	Lung	87	86	3	1	2	178.9	255.6	193.5	257.7
40	44	Female	Never	old_4	Lymphoid lineage	60	53	15	13	2	98.1	226.8	91.2	230.7
40	44	Female	Never	old_4	Melanocytic lineage	2	2	4	3	2	Inf	303.9	Inf	311.4
40	44	Female	Never	old_4	Myeloid lineage	0	0	2	0	2	Inf	303.7	Inf	311.1
40	44	Female	Never	old_4	Neuroendocrine cells	37	36	4	2	1	122.8	397.6	125.1	412.3
40	44	Female	Never	old_4	Ovary	19	12	39	37	2	9.5	267.7	9.4	272.9
40	44	Female	Never	old_4	Pancreas, gallbladder	35	34	8	5	3	59.3	154.4	62.9	158.5
40	44	Female	Never	old_4	Plasma cell neoplasm	27	26	5	4	1	Inf	771.4	Inf	790.2
40	44	Female	Never	old_4	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Never	old_4	Stomach, esophagus	31	30	6	4	2	86.7	203	91.9	209
40	44	Female	Never	old_4	Thyroid gland	0	0	2	0	2	Inf	304	Inf	311.4
40	44	Female	Never	old_4	Uterus	53	51	12	5	7	134.5	59.4	133	59.2
40	44	Male	Any	old_3	Anus	8	7	14	11	3	42.7	190.1	46	186
40	44	Male	Any	old_3	Bladder, urothelial	6	5	21	17	5	23.1	105.8	22.7	106.1
40	44	Male	Any	old_3	Bone and soft tissue	10	6	46	44	4	7	139	7.2	140.1
40	44	Male	Any	old_3	Breast	54	53	5	1	5	655.7	127.4	655.7	125
40	44	Male	Any	old_3	Cervix	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Any	old_3	Colon, rectum	104	76	29	27	3	12.3	174.9	12.5	174.5
40	44	Male	Any	old_3	Head and neck	74	37	53	50	6	12.6	79.2	11.9	81.2
40	44	Male	Any	old_3	Kidney	8	6	25	16	10	23.4	36.5	24.1	37.6
40	44	Male	Any	old_3	Liver, bile duct	23	18	31	24	9	15.1	44.4	17.8	45.8
40	44	Male	Any	old_3	Lung	107	99	13	8	6	32.2	98	34.7	95.5
40	44	Male	Any	old_3	Lymphoid lineage	90	59	37	34	5	29.8	114.3	28.9	115.5
40	44	Male	Any	old_3	Melanocytic lineage	2	2	11	8	3	Inf	186.8	Inf	183.1
40	44	Male	Any	old_3	Myeloid lineage	0	0	3	0	3	Inf	186.5	Inf	182.8
40	44	Male	Any	old_3	Neuroendocrine cells	43	40	9	7	3	32.7	174.1	32.8	178.6
40	44	Male	Any	old_3	Ovary	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Any	old_3	Pancreas, gallbladder	43	38	17	12	5	43.3	98.3	48	102.7
40	44	Male	Any	old_3	Plasma cell neoplasm	31	28	9	8	1	Inf	456.9	Inf	447.8
40	44	Male	Any	old_3	Prostate	16	15	10	6	4	233.5	108.2	211.5	110.3
40	44	Male	Any	old_3	Stomach, esophagus	39	34	18	14	5	25.5	125.2	27.3	127.3
40	44	Male	Any	old_3	Thyroid gland	0	0	3	0	3	Inf	186.8	Inf	183.1
40	44	Male	Any	old_3	Uterus	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Any	old_4	Anus	8	7	11	9	2	53.3	369	57.6	362
40	44	Male	Any	old_4	Bladder, urothelial	6	5	12	10	2	41.2	219.1	40.6	220
40	44	Male	Any	old_4	Bone and soft tissue	8	6	29	27	2	11.4	223.6	11.7	228.3
40	44	Male	Any	old_4	Breast	52	52	3	0	2	1278.1	234	1278.1	231.2
40	44	Male	Any	old_4	Cervix	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Any	old_4	Colon, rectum	96	74	24	23	2	14.5	338.9	14.7	338.6
40	44	Male	Any	old_4	Head and neck	50	36	31	29	3	22.3	132.4	20.9	136.2
40	44	Male	Any	old_4	Kidney	7	6	13	8	5	48.1	69.3	49.8	71.6
40	44	Male	Any	old_4	Liver, bile duct	19	17	17	13	5	25.4	86.5	30.2	89.3
40	44	Male	Any	old_4	Lung	102	96	9	6	3	40.2	198.4	43.4	194.4
40	44	Male	Any	old_4	Lymphoid lineage	70	58	20	18	3	59.3	212.8	57.6	215.3
40	44	Male	Any	old_4	Melanocytic lineage	2	2	6	4	2	Inf	359.3	Inf	353.3
40	44	Male	Any	old_4	Myeloid lineage	0	0	2	0	2	Inf	358.9	Inf	353
40	44	Male	Any	old_4	Neuroendocrine cells	41	39	6	5	2	47	283.4	47.3	293.7
40	44	Male	Any	old_4	Ovary	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Any	old_4	Pancreas, gallbladder	40	37	8	6	3	82	181	91.1	189.4
40	44	Male	Any	old_4	Plasma cell neoplasm	30	28	6	5	1	Inf	887.7	Inf	873.1
40	44	Male	Any	old_4	Prostate	15	15	5	3	3	605.7	171.4	540.3	176.7
40	44	Male	Any	old_4	Stomach, esophagus	36	33	10	8	2	45	230.5	47.5	235.7
40	44	Male	Any	old_4	Thyroid gland	0	0	2	0	2	Inf	359.3	Inf	353.4
40	44	Male	Any	old_4	Uterus	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Current	old_3	Anus	8	7	15	11	4	43	142	46.4	139.7
40	44	Male	Current	old_3	Bladder, urothelial	8	5	33	29	6	13.7	82.3	13.5	82.7
40	44	Male	Current	old_3	Bone and soft tissue	10	6	47	43	6	7.1	66.6	7.3	68.9
40	44	Male	Current	old_3	Breast	55	55	7	1	7	671.9	80.2	671.9	78.7
40	44	Male	Current	old_3	Cervix	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Current	old_3	Colon, rectum	113	77	35	32	4	10.3	117.4	10.5	117.7
40	44	Male	Current	old_3	Head and neck	135	37	75	72	8	8.8	47.8	8.3	49.6
40	44	Male	Current	old_3	Kidney	8	7	29	19	13	19.6	29	20.2	30.1
40	44	Male	Current	old_3	Liver, bile duct	27	18	40	32	11	11	37	13	38.3
40	44	Male	Current	old_3	Lung	132	104	29	21	10	11.8	52.6	12.7	51
40	44	Male	Current	old_3	Lymphoid lineage	91	60	38	34	6	30	92.8	29.2	94
40	44	Male	Current	old_3	Melanocytic lineage	3	2	11	8	4	Inf	140.2	Inf	138.1
40	44	Male	Current	old_3	Myeloid lineage	0	0	4	0	4	Inf	139.9	Inf	137.8
40	44	Male	Current	old_3	Neuroendocrine cells	48	40	20	16	5	13.8	83.1	13.7	87
40	44	Male	Current	old_3	Ovary	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Current	old_3	Pancreas, gallbladder	47	39	22	17	7	32.2	61.2	35.7	64.4
40	44	Male	Current	old_3	Plasma cell neoplasm	31	28	9	8	2	Inf	341.2	Inf	336
40	44	Male	Current	old_3	Prostate	17	16	13	6	7	240.5	50.6	217.9	52.7
40	44	Male	Current	old_3	Stomach, esophagus	43	35	25	20	6	17.7	87	18.9	89.3
40	44	Male	Current	old_3	Thyroid gland	0	0	4	0	4	Inf	140.2	Inf	138.1
40	44	Male	Current	old_3	Uterus	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Current	old_4	Anus	8	7	11	9	2	53.5	271	57.8	267.9
40	44	Male	Current	old_4	Bladder, urothelial	6	5	20	17	3	22.8	167.9	22.5	169.2
40	44	Male	Current	old_4	Bone and soft tissue	8	6	29	27	4	11.5	97.8	11.9	102.3
40	44	Male	Current	old_4	Breast	53	53	4	0	4	1293.1	147.4	1293.1	146.3
40	44	Male	Current	old_4	Cervix	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Current	old_4	Colon, rectum	103	75	29	27	2	11.9	215	12.1	215.9
40	44	Male	Current	old_4	Head and neck	74	36	53	51	5	12.5	73.2	11.8	76.1
40	44	Male	Current	old_4	Kidney	7	6	16	10	7	39.3	50.3	40.7	52.4
40	44	Male	Current	old_4	Liver, bile duct	21	17	24	19	6	17.4	68.2	20.7	70.9
40	44	Male	Current	old_4	Lung	120	98	22	18	5	14	104.4	15.1	101.8
40	44	Male	Current	old_4	Lymphoid lineage	71	58	20	17	3	59.6	165.6	57.9	168.4
40	44	Male	Current	old_4	Melanocytic lineage	2	2	6	4	2	Inf	265.7	Inf	263.2
40	44	Male	Current	old_4	Myeloid lineage	0	0	2	0	2	Inf	265.3	Inf	262.8
40	44	Male	Current	old_4	Neuroendocrine cells	45	40	15	12	3	18.4	122.5	18.4	129.5
40	44	Male	Current	old_4	Ovary	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Current	old_4	Pancreas, gallbladder	41	38	12	8	4	58.7	105.2	65.3	110.9
40	44	Male	Current	old_4	Plasma cell neoplasm	30	28	6	5	1	Inf	654.8	Inf	648.6
40	44	Male	Current	old_4	Prostate	16	15	7	3	5	619.1	72.6	552.2	76.4
40	44	Male	Current	old_4	Stomach, esophagus	38	34	15	12	3	28.8	154	30.4	159.1
40	44	Male	Current	old_4	Thyroid gland	0	0	2	0	2	Inf	265.7	Inf	263.2
40	44	Male	Current	old_4	Uterus	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Former	old_3	Anus	8	7	14	11	3	42.7	189.9	46	186
40	44	Male	Former	old_3	Bladder, urothelial	7	5	24	20	5	19.8	100.2	19.5	100.7
40	44	Male	Former	old_3	Bone and soft tissue	10	6	46	44	4	7	141	7.2	142.1
40	44	Male	Former	old_3	Breast	54	53	5	1	4	655	129.6	655	127.3
40	44	Male	Former	old_3	Cervix	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Former	old_3	Colon, rectum	105	76	30	28	3	12	173.5	12.2	173.3
40	44	Male	Former	old_3	Head and neck	69	37	50	47	6	13.5	78	12.7	80.1
40	44	Male	Former	old_3	Kidney	8	6	26	18	10	21.1	36.8	21.8	37.9
40	44	Male	Former	old_3	Liver, bile duct	23	18	31	24	9	14.6	44.8	17.3	46.2
40	44	Male	Former	old_3	Lung	107	99	13	7	6	33.4	101.1	36	98.9
40	44	Male	Former	old_3	Lymphoid lineage	90	59	37	34	5	29.8	114.1	29	115.3
40	44	Male	Former	old_3	Melanocytic lineage	2	2	11	8	3	Inf	186.6	Inf	183
40	44	Male	Former	old_3	Myeloid lineage	0	0	3	0	3	Inf	186.2	Inf	182.8
40	44	Male	Former	old_3	Neuroendocrine cells	42	40	9	7	3	34	177.7	34.2	182.2
40	44	Male	Former	old_3	Ovary	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Former	old_3	Pancreas, gallbladder	43	38	16	11	5	46	96.8	50.9	101.3
40	44	Male	Former	old_3	Plasma cell neoplasm	31	28	9	8	1	Inf	456.3	Inf	447.8
40	44	Male	Former	old_3	Prostate	16	15	10	6	4	233.4	110	211.4	112.1
40	44	Male	Former	old_3	Stomach, esophagus	40	34	19	15	5	23.9	127.5	25.6	129.6
40	44	Male	Former	old_3	Thyroid gland	0	0	3	0	3	Inf	186.6	Inf	183.1
40	44	Male	Former	old_3	Uterus	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Former	old_4	Anus	8	7	11	9	2	53.3	367.3	57.6	360.7
40	44	Male	Former	old_4	Bladder, urothelial	6	5	14	11	3	34.9	208.1	34.3	209.4
40	44	Male	Former	old_4	Bone and soft tissue	8	6	29	27	2	11.4	227.3	11.7	232
40	44	Male	Former	old_4	Breast	52	52	3	0	2	1277.8	235.8	1277.8	233.3
40	44	Male	Former	old_4	Cervix	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Former	old_4	Colon, rectum	97	75	24	23	2	14.1	335.3	14.3	335.5
40	44	Male	Former	old_4	Head and neck	48	36	28	26	4	24.6	130.4	23.1	134.2
40	44	Male	Former	old_4	Kidney	7	6	14	9	5	43	69.9	44.5	72.1
40	44	Male	Former	old_4	Liver, bile duct	19	17	17	13	5	24.5	87.5	29.1	90.3
40	44	Male	Former	old_4	Lung	102	96	9	6	3	41.8	202.8	45.1	199.2
40	44	Male	Former	old_4	Lymphoid lineage	70	58	20	18	3	59.4	211.8	57.6	214.3
40	44	Male	Former	old_4	Melanocytic lineage	2	2	6	4	2	Inf	357.7	Inf	352.1
40	44	Male	Former	old_4	Myeloid lineage	0	0	2	0	2	Inf	357.2	Inf	351.7
40	44	Male	Former	old_4	Neuroendocrine cells	41	39	6	5	2	48.6	289.9	49	300.2
40	44	Male	Former	old_4	Ovary	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Former	old_4	Pancreas, gallbladder	39	37	8	5	3	87.5	178.6	97.3	187.3
40	44	Male	Former	old_4	Plasma cell neoplasm	30	28	6	5	1	Inf	883.7	Inf	870
40	44	Male	Former	old_4	Prostate	15	15	5	3	2	605.6	174.8	540.2	180.1
40	44	Male	Former	old_4	Stomach, esophagus	36	33	11	8	2	41.3	234.3	43.6	239.4
40	44	Male	Former	old_4	Thyroid gland	0	0	2	0	2	Inf	357.7	Inf	352.2
