Lower	Upper	Sex	Exposure	scenario	predicted_CSO	total_cso_driven	total_ncso_driven	overall_ppv	ppv_first	ppv_xct	diagnostic_ls_css_first	diagnostic_ls_css_xct	diagnostic_ls_os_first	diagnostic_ls_os_xct
40	44	Female	Current	old_4	Breast	69	46	34	33	2	30.4	264.7	29.8	268.7
40	44	Female	Current	old_4	Cervix	6	2	61	60	1	8.5	570.3	8.5	587.4
40	44	Female	Current	old_4	Colon, rectum	80	68	17	15	2	22.1	275.5	22.2	278.7
40	44	Female	Current	old_4	Head and neck	41	35	25	16	11	44.1	40.3	37.8	40.8
40	44	Female	Current	old_4	Kidney	6	5	8	5	4	139.9	78.6	141	82
40	44	Female	Current	old_4	Liver, bile duct	16	15	9	6	3	49	103.8	60.9	107.6
40	44	Female	Current	old_4	Lung	100	86	16	14	2	16.6	225	18	221.2
40	44	Female	Current	old_4	Lymphoid lineage	56	52	9	7	2	200	286.2	183.8	293.2
40	44	Female	Current	old_4	Melanocytic lineage	2	2	4	3	1	Inf	402.1	Inf	410.1
40	44	Female	Current	old_4	Myeloid lineage	0	0	1	0	1	Inf	401.8	Inf	409.7
40	44	Female	Current	old_4	Neuroendocrine cells	40	36	11	9	2	29.4	161.6	29	172.9
40	44	Female	Current	old_4	Ovary	15	12	23	22	2	17.2	364.7	17.1	370.5
40	44	Female	Current	old_4	Pancreas, gallbladder	35	33	7	4	3	56.6	150.9	60	157.8
40	44	Female	Current	old_4	Plasma cell neoplasm	27	26	3	3	0	Inf	1022.9	Inf	1043.1
40	44	Female	Current	old_4	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Current	old_4	Stomach, esophagus	31	30	7	5	2	69.1	204.4	74.2	212.5
40	44	Female	Current	old_4	Thyroid gland	0	0	1	0	1	Inf	402.2	Inf	410.1
40	44	Female	Current	old_4	Uterus	51	49	7	3	4	250.7	120	247.4	119.8
40	44	Female	Former	old_3	Anus	10	10	39	4	37	169.9	15.2	159.1	15.1
40	44	Female	Former	old_3	Bladder, urothelial	5	5	7	5	2	75.9	338.9	82.7	344.9
40	44	Female	Former	old_3	Bone and soft tissue	6	5	24	19	6	19.5	89	19.7	90
40	44	Female	Former	old_3	Breast	77	46	41	40	2	27.4	344	26.8	350.1
40	44	Female	Former	old_3	Cervix	6	2	61	61	1	9.1	642.4	9.1	664.9
40	44	Female	Former	old_3	Colon, rectum	78	68	15	13	2	25.9	315.5	26	319.9
40	44	Female	Former	old_3	Head and neck	37	35	17	7	11	104.5	48.5	89.5	48.7
40	44	Female	Former	old_3	Kidney	6	5	9	6	4	115.2	102.9	116	105.7
40	44	Female	Former	old_3	Liver, bile duct	16	15	8	5	3	61.3	120.1	76.8	123.3
40	44	Female	Former	old_3	Lung	90	86	6	5	2	48.5	319.7	52.7	321
40	44	Female	Former	old_3	Lymphoid lineage	57	52	10	9	2	170.4	323.8	155.4	329.8
40	44	Female	Former	old_3	Melanocytic lineage	2	2	6	5	1	Inf	446	Inf	456
40	44	Female	Former	old_3	Myeloid lineage	0	0	1	0	1	Inf	445.7	Inf	455.6
40	44	Female	Former	old_3	Neuroendocrine cells	37	36	5	4	1	74.6	344.9	74.1	364.3
40	44	Female	Former	old_3	Ovary	16	12	27	26	2	15.3	388.5	15.2	395
40	44	Female	Former	old_3	Pancreas, gallbladder	35	33	6	4	3	70.5	202.2	74.6	210
40	44	Female	Former	old_3	Plasma cell neoplasm	27	26	4	3	1	Inf	1134.3	Inf	1159.7
40	44	Female	Former	old_3	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Former	old_3	Stomach, esophagus	31	30	7	5	2	73.1	267.1	78.1	276
40	44	Female	Former	old_3	Thyroid gland	0	0	1	0	1	Inf	446	Inf	456
40	44	Female	Former	old_3	Uterus	52	49	9	5	4	204	103.9	201.4	103.7
40	44	Female	Former	old_4	Anus	10	9	34	4	31	166.4	16.5	156.6	16.5
40	44	Female	Former	old_4	Bladder, urothelial	5	5	5	4	1	91.1	411.8	97.2	419.4
40	44	Female	Former	old_4	Bone and soft tissue	6	5	20	16	5	22.7	103.5	22.9	104.8
40	44	Female	Former	old_4	Breast	69	46	34	33	1	30.3	394.5	29.7	401.3
40	44	Female	Former	old_4	Cervix	5	2	55	55	1	9.4	750.5	9.4	776.2
40	44	Female	Former	old_4	Colon, rectum	77	67	14	13	1	26.9	377	27	382.2
40	44	Female	Former	old_4	Head and neck	36	34	14	6	9	115.7	55.9	99.1	56.1
40	44	Female	Former	old_4	Kidney	6	5	7	4	3	154.6	121.9	155.8	125.3
40	44	Female	Former	old_4	Liver, bile duct	15	15	7	4	3	72.6	144.3	90.2	148.2
40	44	Female	Former	old_4	Lung	90	86	6	5	1	52	375.7	56.4	376.6
40	44	Female	Former	old_4	Lymphoid lineage	56	52	8	7	2	199.3	378.4	183.1	385.5
40	44	Female	Former	old_4	Melanocytic lineage	2	2	4	3	1	Inf	522.5	Inf	534.1
40	44	Female	Former	old_4	Myeloid lineage	0	0	1	0	1	Inf	522.2	Inf	533.7
40	44	Female	Former	old_4	Neuroendocrine cells	37	36	4	3	1	81.4	390.1	80.9	412.3
40	44	Female	Former	old_4	Ovary	15	12	23	22	1	17.1	460.6	17	468.4
40	44	Female	Former	old_4	Pancreas, gallbladder	34	33	5	3	2	87.1	236.1	92.3	245.1
40	44	Female	Former	old_4	Plasma cell neoplasm	26	26	3	3	0	Inf	1331	Inf	1360.5
40	44	Female	Former	old_4	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Former	old_4	Stomach, esophagus	31	30	5	4	1	96.7	314.8	103.3	325.3
40	44	Female	Former	old_4	Thyroid gland	0	0	1	0	1	Inf	522.6	Inf	534.2
40	44	Female	Former	old_4	Uterus	51	49	7	3	3	250.5	122.7	247.2	122.4
40	44	Female	Never	old_3	Anus	9	9	31	5	28	150.3	19.9	140.7	19.8
40	44	Female	Never	old_3	Bladder, urothelial	5	5	4	2	1	174.3	424.7	189.9	433.1
40	44	Female	Never	old_3	Bone and soft tissue	6	5	24	19	5	19.5	105.3	19.6	105.4
40	44	Female	Never	old_3	Breast	77	46	40	40	1	27.3	448	26.8	456.1
40	44	Female	Never	old_3	Cervix	5	2	51	51	1	10.9	730.2	10.9	755.6
40	44	Female	Never	old_3	Colon, rectum	76	68	13	11	2	30.3	379.8	30.4	385.2
40	44	Female	Never	old_3	Head and neck	35	33	11	4	8	183.7	71	157.4	71
40	44	Female	Never	old_3	Kidney	6	5	7	4	3	155.6	125.8	156.7	128.1
40	44	Female	Never	old_3	Liver, bile duct	15	15	7	4	3	83.2	136.3	104.2	139.4
40	44	Female	Never	old_3	Lung	86	86	2	1	1	315.2	439.3	342.3	444.3
40	44	Female	Never	old_3	Lymphoid lineage	57	52	10	9	2	169.9	383	154.9	389.2
40	44	Female	Never	old_3	Melanocytic lineage	2	2	6	5	1	Inf	547.1	Inf	560.5
40	44	Female	Never	old_3	Myeloid lineage	0	0	1	0	1	Inf	546.8	Inf	560.2
40	44	Female	Never	old_3	Neuroendocrine cells	36	36	2	1	1	222.8	680.9	224.7	707.2
40	44	Female	Never	old_3	Ovary	16	12	27	26	2	15.3	462.4	15.2	470.5
40	44	Female	Never	old_3	Pancreas, gallbladder	35	33	6	4	2	75.1	265.3	79.5	273.8
40	44	Female	Never	old_3	Plasma cell neoplasm	27	26	4	3	0	Inf	1393.1	Inf	1427.3
40	44	Female	Never	old_3	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Never	old_3	Stomach, esophagus	31	30	5	4	1	97.6	330.4	103.5	340.8
40	44	Female	Never	old_3	Thyroid gland	0	0	1	0	1	Inf	547.1	Inf	560.5
40	44	Female	Never	old_3	Uterus	52	49	9	5	4	203.9	105.4	201.2	105.1
40	44	Female	Never	old_4	Anus	9	8	27	5	23	150	22.2	141.2	22.1
40	44	Female	Never	old_4	Bladder, urothelial	5	5	3	2	1	210.6	516.2	224.8	526.9
40	44	Female	Never	old_4	Bone and soft tissue	6	5	19	16	4	22.6	124.4	22.8	124.5
40	44	Female	Never	old_4	Breast	69	46	33	33	1	30.3	517.2	29.6	526.4
40	44	Female	Never	old_4	Cervix	4	2	45	45	1	11.5	858	11.5	887.5
40	44	Female	Never	old_4	Colon, rectum	75	67	12	11	1	31.6	457.8	31.7	464.1
40	44	Female	Never	old_4	Head and neck	34	33	9	3	6	205.7	82.8	176.2	82.9
40	44	Female	Never	old_4	Kidney	5	5	5	3	3	210	152	211.6	154.9
40	44	Female	Never	old_4	Liver, bile duct	15	15	5	3	2	98.8	165.5	122.7	169.5
40	44	Female	Never	old_4	Lung	86	85	2	1	1	339	522.6	367.7	528
40	44	Female	Never	old_4	Lymphoid lineage	56	52	8	7	1	198.8	451.6	182.7	459
40	44	Female	Never	old_4	Melanocytic lineage	2	2	4	3	1	Inf	643.4	Inf	659.2
40	44	Female	Never	old_4	Myeloid lineage	0	0	1	0	1	Inf	643.1	Inf	658.9
40	44	Female	Never	old_4	Neuroendocrine cells	36	36	2	1	1	249.4	799.6	251.8	830.7
40	44	Female	Never	old_4	Ovary	15	12	23	22	1	17.1	551.5	17	561.4
40	44	Female	Never	old_4	Pancreas, gallbladder	34	33	4	3	2	93.1	314.2	98.6	324
40	44	Female	Never	old_4	Plasma cell neoplasm	26	26	3	3	0	Inf	1640.7	Inf	1680.9
40	44	Female	Never	old_4	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Never	old_4	Stomach, esophagus	30	29	4	3	1	131.6	393.6	139	405.9
40	44	Female	Never	old_4	Thyroid gland	0	0	1	0	1	Inf	643.5	Inf	659.2
40	44	Female	Never	old_4	Uterus	51	49	7	3	3	250.4	124.5	247.1	124.2
40	44	Male	Any	old_3	Anus	8	7	7	6	1	93.9	653.1	101.4	642.4
40	44	Male	Any	old_3	Bladder, urothelial	6	5	8	7	2	80.9	313.1	77.6	316.6
40	44	Male	Any	old_3	Bone and soft tissue	7	5	24	23	1	15.2	394.8	15.6	404.1
40	44	Male	Any	old_3	Breast	52	52	2	0	1	1777.9	432.3	1777.9	428
40	44	Male	Any	old_3	Cervix	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Any	old_3	Colon, rectum	85	74	14	13	1	27.7	537.8	28.2	541.2
40	44	Male	Any	old_3	Head and neck	42	35	18	16	2	38	209.2	35.9	216.4
40	44	Male	Any	old_3	Kidney	7	6	12	9	4	53.8	103	55.7	106.4
40	44	Male	Any	old_3	Liver, bile duct	18	16	13	10	3	36.9	127.5	44	132
40	44	Male	Any	old_3	Lung	98	95	5	4	2	65.6	346.2	70.7	341.2
40	44	Male	Any	old_3	Lymphoid lineage	65	57	13	12	2	99.9	348.8	97.1	353.7
40	44	Male	Any	old_3	Melanocytic lineage	2	2	8	7	1	Inf	636.2	Inf	627.3
40	44	Male	Any	old_3	Myeloid lineage	0	0	1	0	1	Inf	635.8	Inf	626.9
40	44	Male	Any	old_3	Neuroendocrine cells	40	39	4	3	1	78.5	479.9	78.7	499.3
40	44	Male	Any	old_3	Ovary	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Any	old_3	Pancreas, gallbladder	39	37	6	4	2	107.1	296.1	119.5	311.9
40	44	Male	Any	old_3	Plasma cell neoplasm	29	28	4	4	0	Inf	1578.1	Inf	1555.9
40	44	Male	Any	old_3	Prostate	15	15	4	3	2	539.1	295	489.1	304.8
40	44	Male	Any	old_3	Stomach, esophagus	35	33	8	6	2	54.2	380.7	57.9	392.4
40	44	Male	Any	old_3	Thyroid gland	0	0	1	0	1	Inf	636.4	Inf	627.4
40	44	Male	Any	old_3	Uterus	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Any	old_4	Anus	7	7	6	5	1	100.4	765.9	108.5	753.5
40	44	Male	Any	old_4	Bladder, urothelial	5	5	6	5	1	94.9	395.4	91.6	399.4
40	44	Male	Any	old_4	Bone and soft tissue	7	5	19	18	1	17.7	444	18.3	455.5
40	44	Male	Any	old_4	Breast	52	52	1	0	1	2197.6	494.4	2197.6	490
40	44	Male	Any	old_4	Cervix	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Any	old_4	Colon, rectum	84	74	13	12	1	28.9	651	29.4	653.8
40	44	Male	Any	old_4	Head and neck	41	35	16	14	2	42.9	246.7	40.4	254.7
40	44	Male	Any	old_4	Kidney	6	6	9	6	3	71.2	123.4	73.7	127.6
40	44	Male	Any	old_4	Liver, bile duct	18	16	10	8	3	42.7	154.4	50.9	159.9
40	44	Male	Any	old_4	Lung	98	95	5	3	1	71.4	407.9	77	401.6
40	44	Male	Any	old_4	Lymphoid lineage	63	57	11	10	1	116.6	411.2	113.2	417
40	44	Male	Any	old_4	Melanocytic lineage	2	2	5	4	1	Inf	744.5	Inf	734.3
40	44	Male	Any	old_4	Myeloid lineage	0	0	1	0	1	Inf	744	Inf	733.8
40	44	Male	Any	old_4	Neuroendocrine cells	40	39	3	2	1	87.4	546.1	87.8	569
40	44	Male	Any	old_4	Ovary	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Any	old_4	Pancreas, gallbladder	38	37	5	3	1	133.5	347.1	149.2	365.7
40	44	Male	Any	old_4	Plasma cell neoplasm	29	28	4	4	0	Inf	1848.8	Inf	1823.4
40	44	Male	Any	old_4	Prostate	15	15	3	2	1	919.3	332.1	820.9	343.9
40	44	Male	Any	old_4	Stomach, esophagus	35	33	6	5	1	70.2	448.1	74.3	461.8
40	44	Male	Any	old_4	Thyroid gland	0	0	1	0	1	Inf	744.6	Inf	734.3
40	44	Male	Any	old_4	Uterus	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Current	old_3	Anus	8	7	7	6	1	94.1	479.3	101.6	475.6
40	44	Male	Current	old_3	Bladder, urothelial	6	5	14	12	2	43.3	241	41.6	244.6
40	44	Male	Current	old_3	Bone and soft tissue	7	6	24	23	2	15.3	167.5	15.8	175.7
40	44	Male	Current	old_3	Breast	52	52	2	0	2	1788.7	271.1	1788.7	270.1
40	44	Male	Current	old_3	Cervix	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Current	old_3	Colon, rectum	88	74	17	16	1	22.1	344.2	22.5	348
40	44	Male	Current	old_3	Head and neck	53	36	36	33	3	18.4	115.9	17.4	120.9
40	44	Male	Current	old_3	Kidney	7	6	15	11	5	43.7	76.6	45.2	79.9
40	44	Male	Current	old_3	Liver, bile duct	19	17	18	14	4	24.7	102.3	29.5	106.7
40	44	Male	Current	old_3	Lung	108	96	13	11	3	21.3	184.3	23	180.8
40	44	Male	Current	old_3	Lymphoid lineage	65	58	13	11	2	100.2	276	97.4	281.3
40	44	Male	Current	old_3	Melanocytic lineage	2	2	8	7	1	Inf	470.2	Inf	467.3
40	44	Male	Current	old_3	Myeloid lineage	0	0	1	0	1	Inf	469.7	Inf	466.9
40	44	Male	Current	old_3	Neuroendocrine cells	42	39	9	7	2	29.4	206.2	29.4	218.3
40	44	Male	Current	old_3	Ovary	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Current	old_3	Pancreas, gallbladder	40	37	8	6	2	77.4	171.9	86.7	182.4
40	44	Male	Current	old_3	Plasma cell neoplasm	29	28	5	4	1	Inf	1164.5	Inf	1157.4
40	44	Male	Current	old_3	Prostate	15	15	6	3	3	545.6	122.4	495	129.1
40	44	Male	Current	old_3	Stomach, esophagus	37	33	12	10	2	35.6	254.5	38	265
40	44	Male	Current	old_3	Thyroid gland	0	0	1	0	1	Inf	470.3	Inf	467.4
40	44	Male	Current	old_3	Uterus	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Current	old_4	Anus	7	7	6	5	1	100.6	557.5	108.7	553.4
40	44	Male	Current	old_4	Bladder, urothelial	6	5	11	9	2	50.2	302.2	48.5	306.4
40	44	Male	Current	old_4	Bone and soft tissue	7	6	20	18	2	17.8	185.8	18.4	195.2
40	44	Male	Current	old_4	Breast	52	52	2	0	2	2209.1	308	2209.1	307.1
40	44	Male	Current	old_4	Cervix	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Current	old_4	Colon, rectum	87	74	16	15	1	23	408.5	23.4	412.3
40	44	Male	Current	old_4	Head and neck	50	35	32	30	3	20.2	133.6	19	139.1
40	44	Male	Current	old_4	Kidney	6	6	11	8	4	57.4	89.6	59.4	93.6
40	44	Male	Current	old_4	Liver, bile duct	19	16	15	12	3	28.3	121.9	33.7	127.1
40	44	Male	Current	old_4	Lung	106	96	12	10	2	23.1	213.8	24.9	209.6
40	44	Male	Current	old_4	Lymphoid lineage	63	57	11	9	2	116.9	320.9	113.6	327.2
40	44	Male	Current	old_4	Melanocytic lineage	2	2	5	4	1	Inf	546.1	Inf	543
40	44	Male	Current	old_4	Myeloid lineage	0	0	1	0	1	Inf	545.6	Inf	542.5
40	44	Male	Current	old_4	Neuroendocrine cells	42	39	8	6	1	32.3	230	32.3	243.9
40	44	Male	Current	old_4	Ovary	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Current	old_4	Pancreas, gallbladder	39	37	7	5	2	95.1	198.1	106.6	210.2
40	44	Male	Current	old_4	Plasma cell neoplasm	29	28	4	4	0	Inf	1354.4	Inf	1346.7
40	44	Male	Current	old_4	Prostate	15	15	4	2	2	929.5	135.6	830	143.2
40	44	Male	Current	old_4	Stomach, esophagus	36	33	10	8	2	44.7	295.7	47.3	307.8
40	44	Male	Current	old_4	Thyroid gland	0	0	1	0	1	Inf	546.1	Inf	543
40	44	Male	Current	old_4	Uterus	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Former	old_3	Anus	8	7	7	6	1	93.9	648.7	101.4	638.7
40	44	Male	Former	old_3	Bladder, urothelial	6	5	10	8	2	68	293	65.2	296.9
40	44	Male	Former	old_3	Bone and soft tissue	7	5	24	23	1	15.2	401.3	15.6	410.5
40	44	Male	Former	old_3	Breast	52	52	2	0	1	1777.8	434.9	1777.8	431.2
40	44	Male	Former	old_3	Cervix	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Former	old_3	Colon, rectum	85	74	14	13	1	26.9	529.7	27.3	533.7
40	44	Male	Former	old_3	Head and neck	41	35	16	14	2	42.7	205.6	40.3	212.8
40	44	Male	Former	old_3	Kidney	7	6	13	10	4	48.1	103.8	49.8	107.3
40	44	Male	Former	old_3	Liver, bile duct	18	16	13	10	3	35.5	128.9	42.3	133.4
40	44	Male	Former	old_3	Lung	98	95	5	3	2	68.3	351.9	73.6	347.6
40	44	Male	Former	old_3	Lymphoid lineage	65	57	13	12	2	99.9	347.3	97.1	352.2
40	44	Male	Former	old_3	Melanocytic lineage	2	2	8	7	1	Inf	632.1	Inf	623.8
40	44	Male	Former	old_3	Myeloid lineage	0	0	1	0	1	Inf	631.7	Inf	623.4
40	44	Male	Former	old_3	Neuroendocrine cells	40	39	4	3	1	81.4	491	81.7	510.3
40	44	Male	Former	old_3	Ovary	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Former	old_3	Pancreas, gallbladder	38	37	6	4	2	113.8	290.9	126.9	307
40	44	Male	Former	old_3	Plasma cell neoplasm	29	28	4	4	0	Inf	1567.8	Inf	1547.2
40	44	Male	Former	old_3	Prostate	15	15	4	3	2	539.1	300.8	489.1	310.7
40	44	Male	Former	old_3	Stomach, esophagus	35	33	9	7	2	50.4	387.7	53.8	399.1
40	44	Male	Former	old_3	Thyroid gland	0	0	1	0	1	Inf	632.2	Inf	623.9
40	44	Male	Former	old_3	Uterus	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Former	old_4	Anus	7	7	6	5	1	100.4	761.3	108.5	749.7
40	44	Male	Former	old_4	Bladder, urothelial	6	5	7	6	2	79.5	371.8	76.8	376.2
40	44	Male	Former	old_4	Bone and soft tissue	7	5	19	18	1	17.7	451.8	18.3	463.3
40	44	Male	Former	old_4	Breast	52	52	1	0	1	2197.4	497.4	2197.4	493.6
40	44	Male	Former	old_4	Cervix	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Former	old_4	Colon, rectum	84	74	13	12	1	28	642	28.4	645.7
40	44	Male	Former	old_4	Head and neck	40	35	14	13	2	48.2	242.5	45.5	250.6
40	44	Male	Former	old_4	Kidney	6	6	10	7	3	63.4	124.5	65.7	128.7
40	44	Male	Former	old_4	Liver, bile duct	18	16	11	8	3	41.1	156.2	49	161.6
40	44	Male	Former	old_4	Lung	98	95	4	3	1	74.4	415.2	80.2	409.8
40	44	Male	Former	old_4	Lymphoid lineage	63	57	11	10	2	116.6	409.3	113.3	415.1
40	44	Male	Former	old_4	Melanocytic lineage	2	2	5	4	1	Inf	740.1	Inf	730.7
40	44	Male	Former	old_4	Myeloid lineage	0	0	1	0	1	Inf	739.6	Inf	730.2
40	44	Male	Former	old_4	Neuroendocrine cells	40	39	3	2	1	90.5	559.3	91.2	582.1
40	44	Male	Former	old_4	Ovary	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Male	Former	old_4	Pancreas, gallbladder	38	37	4	3	1	142.4	341.7	159	360.6
40	44	Male	Former	old_4	Plasma cell neoplasm	29	28	4	4	0	Inf	1837.9	Inf	1814.5
40	44	Male	Former	old_4	Prostate	15	15	3	2	1	919.3	339.1	820.8	350.9
40	44	Male	Former	old_4	Stomach, esophagus	35	33	7	5	1	64.6	456.3	68.4	469.8
