Sex	Lower	Upper	SEER_Draw	Stage	IR	N	Pop	Rate	NET
Male	45	49	Urothelial Tract	Unknown/missing	0	0	29245418	0	NET
Male	45	49	Uterus	I	0	0	29245418	0	No
Male	45	49	Uterus	II	0	0	29245418	0	No
Male	45	49	Uterus	III	0	0	29245418	0	No
Male	45	49	Uterus	IV	0	0	29245418	0	No
Male	45	49	Uterus	Unknown/missing	0	0	29245418	0	No
Male	45	49	Uterus	I	0	0	29245418	0	NET
Male	45	49	Uterus	II	0	0	29245418	0	NET
Male	45	49	Uterus	III	0	0	29245418	0	NET
Male	45	49	Uterus	IV	0	0	29245418	0	NET
Male	45	49	Uterus	Unknown/missing	0	0	29245418	0	NET
Male	45	49	CUP	I	0	0	29245418	0	NotExpected
Male	45	49	CUP	II	0	0	29245418	0	NotExpected
Male	45	49	CUP	III	0	0	29245418	0	NotExpected
Male	45	49	CUP	IV	0	0	29245418	0	NotExpected
Male	45	49	CUP	Unknown/missing	3.51	1027	29245418	3.511661211339158	NotExpected
Male	45	49	Brain	I	0	0	29245418	0	NotExpected
